episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
6,1.0,-0.1967883129456987,-3.7563676674671753,143.72177190999514,0.0,4.0,9,0.0,False,True,0.42105527522594555,33,33.27526529517031,60.988,prepare,0.0
6,2.0,-0.19670189715406872,-3.756431204862485,143.72754631594736,0.0,2.8,7,-0.19934901622961038,False,True,0.42073293408218526,33,33.27526529517031,61.059,in_progress,0.0
6,3.0,-0.20101020192285662,-3.7498453596122814,143.0132284156192,25.0,2.0,14,-0.1782011374301215,False,True,0.44288081288167414,34,33.27526529517031,61.129,in_progress,0.0
6,4.0,-0.22250268972339143,-3.7372937240835737,143.63018405946247,25.0,2.0,14,-0.12595926078330794,False,True,0.5172705683279766,34,33.27526529517031,61.202,in_progress,0.0
6,5.0,-0.24530979127526462,-3.731515189287799,145.76239595201912,-15.0,1.3,3,-0.13481653535643429,False,True,0.5828030492011527,34,33.27526529517031,61.298,in_progress,0.0
6,6.0,-0.30415274213820653,-3.6909518859891075,145.55607114499784,-15.0,2.5,4,0.014339674185127882,False,True,0.7974917396158909,34,33.27526529517031,61.343,in_progress,0.0
6,7.0,-0.3112790686083755,-3.682225722714993,144.76167511084455,-26.0,2.0,2,-0.16756803744942123,False,True,0.8302727183960801,34,33.27526529517031,61.425,in_progress,0.0
6,8.0,-0.36302919992052957,-3.5860589126462954,134.2951266071372,0.0,2.8,7,0.11732847390088091,False,True,1.1479502085265714,34,33.27526529517031,61.472,in_progress,0.0
6,9.0,-0.381482394117904,-3.536033698238167,129.08960598866204,0.0,4.0,9,-0.040425042846807535,False,True,1.3078741819093742,34,33.27526529517031,61.531,in_progress,0.0
6,10.0,-0.41917458871072927,-3.4611653875720028,124.86552948477818,0.0,1.7,6,0.047670567411907394,False,True,1.555893765550892,35,33.27526529517031,61.583,in_progress,0.0
6,11.0,-0.46175407937490937,-3.3920407555211662,123.70782623169237,0.0,1.7,6,0.028564003729304732,False,True,1.784806785509807,35,33.27526529517031,61.667,in_progress,0.0
6,12.0,-0.5422020897179983,-3.253129891176499,121.83124735864232,-26.0,2.0,2,0.11671864901692947,False,True,2.101874450756347,35,33.27526529517031,61.726,in_progress,0.0
6,13.0,-0.6100177494810267,-3.1071685468920163,117.8456674365276,15.0,1.2,10,0.20701984091595788,False,True,2.509243307901915,36,33.27526529517031,61.81,in_progress,0.0
6,14.0,-0.6100177494810267,-3.1071685468920163,117.8456674365276,15.0,1.3,11,-0.20034901622961038,False,True,2.509243307901915,36,33.27526529517031,61.876,in_progress,0.0
6,15.0,-0.6815961500235957,-2.932829052987906,114.76036572608983,0.0,2.8,7,0.10987340194109169,False,True,2.8194657260726173,36,33.27526529517031,61.944,in_progress,0.0
