episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
42,1.0,3.321470047762018,-1.7960505726600067,-16.218563399923863,0.0,2.8,7,0.0,False,True,0.37643263839604313,11,33.27526529517031,332.028,prepare,0.0
42,2.0,3.321174674337215,-1.795970011714102,-16.21525131205596,0.0,4.0,9,-0.19934901622961038,False,True,0.3756226695438458,11,33.27526529517031,332.111,in_progress,0.0
42,3.0,3.3304636297565686,-1.7961746787938837,-15.561452118470104,0.0,1.7,6,-0.17970124175753915,False,True,0.39627044401591704,11,33.27526529517031,332.164,in_progress,0.0
42,4.0,3.349308449897953,-1.8039420729118134,-16.37604608481029,30.0,1.16,15,-0.14322981268861945,False,True,0.45338964755690797,11,33.27526529517031,332.214,in_progress,0.0
42,5.0,3.3891155808299627,-1.8061313836577302,-14.262019146741096,-26.0,1.2,1,-0.10914617523238024,False,True,0.5445924885541381,12,33.27526529517031,332.296,in_progress,0.0
42,6.0,3.4242241335773933,-1.802540667993174,-11.212368916458857,30.0,1.16,15,-0.1313494384337907,False,True,0.6135920663499578,12,33.27526529517031,332.365,in_progress,0.0
42,7.0,3.476028150320727,-1.7982708929589404,-7.875642857582082,0.0,1.7,6,-0.09640698402820363,False,True,0.7175340985513645,12,33.27526529517031,332.416,in_progress,0.0
42,8.0,3.528790412102793,-1.7914554428592766,-4.700138098387735,0.0,2.8,7,-0.09959418213359167,False,True,0.8182889326473832,12,33.27526529517031,332.505,in_progress,0.0
42,9.0,3.6060685102610623,-1.7958088346743366,-4.261513113086878,25.0,2.0,14,-0.09620144467893249,False,True,0.9224365041980611,12,33.27526529517031,332.55,in_progress,0.0
42,10.0,3.679467854077352,-1.7980079672234437,-3.590865339327467,0.0,2.8,7,-0.20034901622961038,False,True,0.9224365041980611,12,33.27526529517031,332.615,in_progress,0.0
42,11.0,3.763914128002126,-1.7939060336296613,-1.588412034125503,30.0,1.16,15,-0.11006488850157642,False,True,1.012720631926095,12,33.27526529517031,332.682,in_progress,0.0
42,12.0,3.8714869337660978,-1.7898659941024633,-0.2713517097986959,15.0,2.5,12,-0.04745612544545391,False,False,1.1656135227102515,12,33.27526529517031,332.754,in_progress,0.0
42,13.0,3.957555561252936,-1.7759305984083749,2.894277322373455,-26.0,2.0,2,-0.1057755847189909,False,False,1.260186954220871,12,33.27526529517031,332.824,in_progress,0.0
42,14.0,4.072745312061077,-1.755493777527917,6.1934210199968724,30.0,1.16,15,-0.07840952861142142,False,False,1.38212644183906,13,33.27526529517031,332.878,in_progress,0.0
42,15.0,4.172409209198882,-1.748583418172234,5.387943569138789,15.0,1.2,10,0.001,True,False,1.5155646522692912,13,33.27526529517031,332.936,off_track,0.0
43,1.0,3.9235708230884185,-3.3577297785060036,-82.86518772049182,-26.0,2.0,2,0.0,False,True,0.42133801524418535,17,33.27526529517031,333.089,prepare,0.0
43,2.0,3.9233758793793014,-3.3575511173674575,-82.91474992469549,25.0,2.0,14,-0.19934901622961038,False,True,0.4207329340821797,17,33.27526529517031,333.152,in_progress,0.0
43,3.0,3.9262185297266123,-3.3654571385070704,-82.66147698346033,-15.0,2.5,4,-0.17571727221924044,False,True,0.44536467809254965,17,33.27526529517031,333.226,in_progress,0.0
43,4.0,3.929234267881855,-3.387832605676407,-82.63595518127799,15.0,2.5,12,-0.13691877640366473,False,True,0.5087949179184953,17,33.27526529517031,333.298,in_progress,0.0
43,5.0,3.940498776559038,-3.4387926563907993,-81.50835589862102,-15.0,2.5,4,-0.058817545534599336,False,True,0.6503263886135063,17,33.27526529517031,333.363,in_progress,0.0
43,6.0,3.9525180252274112,-3.472113232074394,-79.83992773178021,25.0,2.0,14,-0.11096903394291341,False,True,0.7397063709002033,17,33.27526529517031,333.42,in_progress,0.0
43,7.0,3.968784814542162,-3.5285990109619125,-78.45428093354575,25.0,2.0,14,-0.04603921738905031,False,True,0.8940161697407634,17,33.27526529517031,333.486,in_progress,0.0
43,8.0,4.007566636166756,-3.596246424285172,-72.9930926674673,0.0,2.8,7,-0.028658264872973127,False,True,1.0657069210974006,18,33.27526529517031,333.571,in_progress,0.0
43,9.0,4.058078561441218,-3.6767676974968664,-67.70795714775194,0.0,3.5,8,0.0010612542941755287,False,True,1.2671171916211865,18,33.27526529517031,333.603,in_progress,0.0
43,10.0,4.101836220099676,-3.7626953282237863,-65.95849646094203,0.0,3.5,8,-0.08769382690709943,False,True,1.3797723809436975,18,33.27526529517031,333.681,in_progress,0.0
43,11.0,4.14563010191175,-3.8454601119442113,-64.63793079099584,-26.0,1.2,1,-0.20034901622961038,False,True,1.3797723809436975,18,33.27526529517031,333.753,in_progress,0.0
43,12.0,4.201668035879441,-3.9621434760925855,-63.65567597518209,0.0,1.7,6,-0.20034901622961038,False,True,1.3797723809436975,18,33.27526529517031,333.837,in_progress,0.0
43,13.0,4.248618013992593,-4.070111098226411,-64.82674028080923,15.0,1.3,11,-0.20034901622961038,False,False,1.3797723809436975,18,33.27526529517031,333.896,in_progress,0.0
43,14.0,4.30086669855633,-4.16088707318203,-62.966665663359784,-15.0,3.0,5,-0.20034901622961038,False,False,1.3797723809436975,18,33.27526529517031,333.956,in_progress,0.0
43,15.0,4.353300641232359,-4.246774434149437,-61.4342279296148,-26.0,2.0,2,0.001,True,False,1.3797723809436975,18,33.27526529517031,334.011,off_track,0.0
44,1.0,2.597206149973961,-3.8286947529888407,167.5963799894452,0.0,1.7,6,0.0,False,True,0.37303661734727767,22,33.27526529517031,334.166,prepare,0.0
44,2.0,2.597697949225373,-3.828803406800851,167.62495950791046,0.0,1.7,6,-0.19934901622961038,False,True,0.37169920887691055,22,33.27526529517031,334.238,in_progress,0.0
44,3.0,2.585790960568584,-3.826060894145902,167.48152404102234,0.0,4.0,9,-0.16775107941500028,False,True,0.40429714569152064,22,33.27526529517031,334.266,in_progress,0.0
44,4.0,2.5668528242033197,-3.822984199494558,167.66129551646085,-15.0,2.5,4,-0.15100421006895987,False,True,0.45364195185217115,22,33.27526529517031,334.359,in_progress,0.0
44,5.0,2.5352348121456907,-3.8106889152582277,166.34620976512753,25.0,1.2,13,-0.10402824942200989,False,True,0.5499627186597716,23,33.27526529517031,334.421,in_progress,0.0
44,6.0,2.4809507564738946,-3.7948526658401414,165.66712017988533,-15.0,1.3,3,-0.04524532195053915,False,True,0.7050664129388429,23,33.27526529517031,334.495,in_progress,0.0
44,7.0,2.4137328695022076,-3.781481399800062,166.3623590709133,25.0,1.2,13,-0.020435454756363713,False,True,0.8849799744120895,23,33.27526529517031,334.56,in_progress,0.0
44,8.0,2.32777033230464,-3.7580029325966797,165.93257710814586,-26.0,1.2,1,-0.03978629413633877,False,True,1.0455426965053611,23,33.27526529517031,334.626,in_progress,0.0
44,9.0,2.298421489126711,-3.7544057689626995,166.88184897178388,15.0,1.2,10,-0.13387054360303335,False,True,1.1120211691319382,23,33.27526529517031,334.681,in_progress,0.0
44,10.0,2.2228614645617126,-3.7507237285790453,169.96839780567157,-26.0,1.2,1,-0.04176570265821272,False,True,1.2706044827033358,23,33.27526529517031,334.799,in_progress,0.0
44,11.0,2.1104162919916565,-3.7410919217535272,171.74392291249094,0.0,2.8,7,0.04500248465513362,False,True,1.5159559835880798,24,33.27526529517031,334.815,in_progress,0.0
44,12.0,2.054178757632467,-3.7263563322604933,170.3114123200263,0.0,4.0,9,-0.05529592457530058,False,True,1.6610090752423896,24,33.27526529517031,334.903,in_progress,0.0
44,13.0,1.965130431635828,-3.702699319805298,168.5628665338658,25.0,2.0,14,0.2656020701555056,False,True,2.1269601616275056,24,33.27526529517031,334.949,in_progress,0.0
