episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
33,1.0,-3.5605561324158996,-0.8664812883815767,71.9040910392814,0.0,4.0,9,0.0,False,True,0.42174452493394243,72,33.27526529517031,267.821,prepare,0.0
33,2.0,-3.560619239998256,-0.8668148056311449,71.88702233968368,0.0,4.0,9,-0.19934901622961038,False,True,0.4207329340821908,72,33.27526529517031,267.884,in_progress,0.0
33,3.0,-3.5545648338076137,-0.8455103825570733,72.13948082571694,25.0,2.0,14,-0.13394113748626396,False,True,0.48714081282553723,72,33.27526529517031,267.945,in_progress,0.0
33,4.0,-3.5542397955180207,-0.8122785480511389,74.44298006760121,-26.0,1.2,1,-0.10610736959372619,False,True,0.5813824594614214,72,33.27526529517031,268.019,in_progress,0.0
33,5.0,-3.5555828977899804,-0.7954899931478554,75.99912116922313,-30.0,1.16,0,-0.15428007528713178,False,True,0.6274514004039,72,33.27526529517031,268.085,in_progress,0.0
33,6.0,-3.5406297427259408,-0.7444547125198171,75.44914283319007,0.0,1.7,6,-0.04083736853908587,False,True,0.7869630480944245,72,33.27526529517031,268.157,in_progress,0.0
33,7.0,-3.5153318495000176,-0.6582592811395854,74.98351775225173,0.0,4.0,9,0.06910020000259892,False,True,1.0564122643266338,73,33.27526529517031,268.264,in_progress,0.0
33,8.0,-3.497207464387096,-0.5786455847213718,75.63078012457176,-26.0,2.0,2,0.04316494701100543,False,True,1.2999262275672496,73,33.27526529517031,268.283,in_progress,0.0
33,9.0,-3.4960420274124377,-0.5722960485241697,75.77865910559608,-15.0,1.3,3,-0.18121413244613221,False,True,1.3190611113507278,73,33.27526529517031,268.364,in_progress,0.0
33,10.0,-3.4437689883023017,-0.44550109114224556,71.72988196056679,-26.0,1.2,1,0.20849700758918815,False,True,1.7279071351695263,73,33.27526529517031,268.41,in_progress,0.0
33,11.0,-3.407877409397264,-0.38586239946071116,68.2557932680055,-26.0,2.0,2,0.005932161389517188,False,True,1.9341883127886539,74,33.27526529517031,268.486,in_progress,0.0
33,12.0,-3.3286269998608797,-0.2909237411945381,60.22999449741742,0.0,4.0,9,0.15551323124236155,False,True,2.290050560260626,74,33.27526529517031,268.551,in_progress,0.0
33,13.0,-3.291098717998198,-0.25187934118540556,57.16852209125196,0.0,3.5,8,-0.04554695869596753,False,True,2.4448526177942687,74,33.27526529517031,268.615,in_progress,0.0
33,14.0,-3.1954440828960213,-0.14385658722026462,52.69587885221982,0.0,2.8,7,0.21721271962525518,False,True,2.862414353649134,75,33.27526529517031,268.69,in_progress,0.0
33,15.0,-3.1033994196601635,-0.04227126431773641,50.149899305906686,0.0,2.8,7,0.21944577642815793,False,True,3.2822091463069025,75,33.27526529517031,268.756,in_progress,0.0
33,16.0,-3.0358309194479824,0.027401150650027767,48.52892240488644,0.0,2.8,7,0.08282503559039062,False,True,3.5653831981269035,75,33.27526529517031,268.846,in_progress,0.0
33,17.0,-2.850948313888698,0.20057165738018742,44.58392634297532,0.0,4.0,9,0.5423019441012051,False,True,4.308034158457719,76,33.27526529517031,268.891,in_progress,0.0
33,18.0,-2.7673825969982095,0.27412461096007135,43.135848037299034,0.0,2.8,7,0.11935706306837651,False,True,4.627740237755706,77,33.27526529517031,268.934,in_progress,0.0
33,19.0,-2.6619886383626947,0.36573795167818307,41.97842859682018,-15.0,3.0,5,0.17390473610363194,False,True,5.001993990088948,77,33.27526529517031,269.033,in_progress,0.0
33,20.0,-2.5291056684577127,0.469402683611042,39.450413247512365,-15.0,2.5,4,0.23421791655066776,False,True,5.436560922869226,77,33.27526529517031,269.116,in_progress,0.0
33,21.0,-2.2488772272118256,0.6505616714846757,33.60966220024399,15.0,1.2,10,0.2869201238211068,False,False,5.923830062919944,78,33.27526529517031,269.169,in_progress,0.0
33,22.0,-2.215055595475203,0.66967913488833,32.72702131341833,15.0,2.5,12,-0.12067999202329077,False,False,6.003499087126263,78,33.27526529517031,269.232,in_progress,0.0
33,23.0,-2.0391318363879667,0.781624514021839,32.72939096113007,25.0,2.0,14,0.001,True,False,6.4544347873850105,79,33.27526529517031,269.287,off_track,0.0
34,1.0,-2.8272510142675316,0.620505521763993,58.46680545929193,-15.0,3.0,5,0.0,False,True,0.4202859321651764,77,33.27526529517031,269.438,prepare,0.0
34,2.0,-2.827189792484591,0.620735662709154,58.50469772519379,15.0,1.3,11,-0.19934901622961038,False,True,0.42098352837279807,77,33.27526529517031,269.495,in_progress,0.0
34,3.0,-2.8223958544304586,0.6262922247853123,58.15394533753084,0.0,4.0,9,-0.178858001594355,False,True,0.44247454300805344,77,33.27526529517031,269.581,in_progress,0.0
34,4.0,-2.8152761683139214,0.6482571351744246,59.39744724309409,-26.0,2.0,2,-0.13198007471206114,False,True,0.5108434845256027,78,33.27526529517031,269.63,in_progress,0.0
34,5.0,-2.7897848581530997,0.6752997444966697,57.46453592295476,0.0,1.7,6,-0.09272855522191453,False,True,0.6184639455332985,78,33.27526529517031,269.697,in_progress,0.0
34,6.0,-2.7611886923343585,0.7031928646317328,55.255835130925036,-26.0,1.2,1,-0.0861152334173873,False,True,0.7326977283455216,78,33.27526529517031,269.829,in_progress,0.0
34,7.0,-2.6824973509690144,0.7663606139256349,48.943917096795424,0.0,2.8,7,0.02375918118500825,False,True,0.9568059257601402,78,33.27526529517031,269.849,in_progress,0.0
34,8.0,-2.6524626587167677,0.7823377812968554,45.93502843030424,-15.0,2.5,4,-0.13252122152028062,False,True,1.02463372046947,78,33.27526529517031,269.942,in_progress,0.0
34,9.0,-2.5766186461742726,0.8283227209007851,40.84983285520647,25.0,1.2,13,-0.012594068988462659,False,True,1.2123886677106177,78,33.27526529517031,269.956,in_progress,0.0
34,10.0,-2.5263190264612256,0.8647109736818701,39.377343712068885,-15.0,3.0,5,-0.05861891604748565,False,True,1.3541187678927424,78,33.27526529517031,270.037,in_progress,0.0
34,11.0,-2.3850180594913586,0.9628910120289756,36.185224826859624,-15.0,2.5,4,0.18599013322078833,False,True,1.7404579173431411,79,33.27526529517031,270.124,in_progress,0.0
34,12.0,-2.3646481976377607,0.9734990919136066,35.29493023012875,0.0,3.5,8,-0.15501302349056195,False,True,1.7857939100821896,79,33.27526529517031,270.177,in_progress,0.0
34,13.0,-2.2294572281185343,1.0460005167208217,31.660912334224097,15.0,2.5,12,-0.16727938611890564,False,False,1.8188635401928943,79,33.27526529517031,270.224,in_progress,0.0
34,14.0,-2.150613305253703,1.0962104879005734,31.92705839401385,15.0,2.5,12,-0.20034901622961038,False,False,1.8188635401928943,79,33.27526529517031,270.318,in_progress,0.0
