episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
54,1.0,-2.8272049263635366,0.6206204233458319,58.4617683215272,25.0,2.0,14,0.0,False,True,0.42065597727145576,77,33.27526529517031,421.709,prepare,0.0
54,2.0,-2.8273566597032884,0.6204000566107317,58.48973815056406,15.0,1.2,10,-0.19934901622961038,False,True,0.41985748270406686,77,33.27526529517031,421.766,in_progress,0.0
54,3.0,-2.82201676756629,0.6321566117366371,58.8741612883532,-26.0,2.0,2,-0.1616114816173561,False,True,0.45859501731632113,78,33.27526529517031,421.81,in_progress,0.0
54,4.0,-2.803106289200838,0.6506508218865795,57.17757081890797,25.0,2.0,14,-0.12467754999152952,False,True,0.534266483554402,78,33.27526529517031,421.879,in_progress,0.0
54,5.0,-2.784047324764057,0.6721372541635606,56.10561975889646,25.0,1.2,13,-0.11651529604906202,False,True,0.6181002037349503,78,33.27526529517031,421.955,in_progress,0.0
54,6.0,-2.77155483547267,0.7117989761000743,58.86782057409112,15.0,2.5,12,-0.07740566061377602,False,True,0.7410435593507847,78,33.27526529517031,422.044,in_progress,0.0
54,7.0,-2.753207239164575,0.7843076315008424,63.661784751488476,0.0,3.5,8,0.018055592013251076,False,True,0.9594481675936462,78,33.27526529517031,422.095,in_progress,0.0
54,8.0,-2.727615338279742,0.8666783703046848,66.80376505057619,25.0,1.2,13,0.058324044545639275,False,True,1.2181212283688958,78,33.27526529517031,422.164,in_progress,0.0
54,9.0,-2.7044563632273633,0.9477394427806741,69.09759679356807,25.0,2.0,14,0.05278458119152979,False,True,1.471254825790036,79,33.27526529517031,422.231,in_progress,0.0
54,10.0,-2.6937814210909945,1.0094839741865647,71.85691102972439,25.0,2.0,14,-0.012440913483317828,False,True,1.6591629285363285,79,33.27526529517031,422.278,in_progress,0.0
54,11.0,-2.689866451215486,1.0757260479599675,75.69636962505817,-26.0,2.0,2,-0.0019684242968651122,False,True,1.8575435204690738,79,33.27526529517031,422.37,in_progress,0.0
54,12.0,-2.666091524958488,1.2341686191920869,78.37175430807811,0.0,2.8,7,0.23498016091055424,False,True,2.2928726976092384,80,33.27526529517031,422.418,in_progress,0.0
54,13.0,-2.644252802389867,1.3056623753663201,76.77912031375978,0.0,4.0,9,-0.013544528952162682,False,True,2.479677184886686,80,33.27526529517031,422.503,in_progress,0.0
54,14.0,-2.6043184401401422,1.4204656205292048,73.97976997964585,0.0,4.0,9,0.03818526613535572,False,True,2.718211467251652,80,33.27526529517031,422.558,in_progress,0.0
54,15.0,-2.534367324044343,1.5930982868175307,70.04081535563168,0.0,3.5,8,-0.20034901622961038,False,True,2.718211467251652,80,33.27526529517031,422.63,in_progress,0.0
54,16.0,-2.4939344570108926,1.6856549230857922,68.59902583064272,-30.0,1.16,0,-0.20034901622961038,False,True,2.718211467251652,80,33.27526529517031,422.69,in_progress,0.0
54,17.0,-2.4246397912580484,1.8227257433340964,65.20098426435864,15.0,1.2,10,-0.20034901622961038,False,False,2.718211467251652,80,33.27526529517031,422.755,in_progress,0.0
54,18.0,-2.3355387929796647,1.9992775509946288,63.64611715656791,15.0,1.3,11,0.001,True,False,2.8149800449080553,80,33.27526529517031,422.848,off_track,0.0
55,1.0,-3.5847979771030376,1.7165018270944945,160.66952411989612,0.0,2.8,7,0.0,False,True,0.42144772319571144,83,33.27526529517031,422.961,prepare,0.0
55,2.0,-3.5845994020586964,1.716349171146347,160.7163026707661,-15.0,3.0,5,-0.19934901622961038,False,True,0.4207329340821908,83,33.27526529517031,423.01,in_progress,0.0
55,3.0,-3.59179549891903,1.718278586070458,160.8366202216178,0.0,4.0,9,-0.17886366497046752,False,True,0.4422182853413337,83,33.27526529517031,423.087,in_progress,0.0
55,4.0,-3.6144955139769395,1.7243295724312346,161.1656624006613,15.0,2.5,12,-0.13665510036535017,False,True,0.5059122012055939,83,33.27526529517031,423.152,in_progress,0.0
55,5.0,-3.653235964878201,1.7306872972252987,162.71917174176394,15.0,1.3,11,-0.09939090608648699,False,True,0.6068703113487173,83,33.27526529517031,423.229,in_progress,0.0
55,6.0,-3.7058496018903733,1.7326811315375776,165.87272547231018,25.0,2.0,14,-0.0761930883941761,False,True,0.7310262391841515,83,33.27526529517031,423.275,in_progress,0.0
55,7.0,-3.7746465069210546,1.7314220208304871,169.96455572719353,0.0,1.7,6,-0.045547353789791856,False,True,0.8858279016239701,83,33.27526529517031,423.343,in_progress,0.0
55,8.0,-3.859425802201904,1.7317339796661613,173.04146030359112,0.0,3.5,8,-0.005949129288478072,False,True,1.0802277885651024,84,33.27526529517031,423.424,in_progress,0.0
55,9.0,-3.9859268988343803,1.744811676399401,173.42919749287148,-15.0,3.0,5,0.06014452149217392,False,True,1.3407213262868867,85,33.27526529517031,423.492,in_progress,0.0
55,10.0,-4.037387685028326,1.7520862264634933,173.1420145143177,15.0,1.2,10,-0.20034901622961038,False,True,1.3407213262868867,85,33.27526529517031,423.565,in_progress,0.0
55,11.0,-4.1537610526136595,1.771310417604634,171.80013111115318,0.0,3.5,8,-0.20034901622961038,False,True,1.3407213262868867,85,33.27526529517031,423.622,in_progress,0.0
55,12.0,-4.235952276805994,1.7795102902744635,172.53860234033328,0.0,4.0,9,-0.20034901622961038,False,True,1.3407213262868867,85,33.27526529517031,423.692,in_progress,0.0
55,13.0,-4.355391336971888,1.7834371571659762,175.0239424756732,15.0,2.5,12,-0.11616646289521054,False,False,1.4249038796212865,85,33.27526529517031,423.777,in_progress,0.0
